fpr,tpr
0.018933333333333333,0.1256
0.0192,0.1256
0.0192,0.1272
0.019333333333333334,0.1272
0.019333333333333334,0.128
0.019866666666666668,0.128
0.019866666666666668,0.1296
0.02,0.1296
0.02,0.1308
0.020133333333333333,0.1308
0.020133333333333333,0.1332
0.020266666666666665,0.1332
0.020266666666666665,0.1336
0.0204,0.1336
0.0204,0.1348
0.020533333333333334,0.1348
0.020533333333333334,0.1356
0.020666666666666667,0.1356
0.020666666666666667,0.136
0.021066666666666668,0.136
0.021066666666666668,0.1364
0.0212,0.1364
0.0212,0.1368
0.021333333333333333,0.1368
0.021333333333333333,0.1384
0.0216,0.1384
0.0216,0.1388
0.021866666666666666,0.1388
0.021866666666666666,0.1392
0.022133333333333335,0.1392
0.022133333333333335,0.1396
0.022266666666666667,0.1396
0.022266666666666667,0.1428
0.022533333333333332,0.1428
0.022533333333333332,0.1432
0.0228,0.1432
0.0228,0.1436
0.023066666666666666,0.1436
0.023066666666666666,0.1444
0.0232,0.1444
0.0232,0.146
0.023333333333333334,0.146
0.023333333333333334,0.1472
0.0236,0.1472
0.0236,0.148
0.023733333333333332,0.148
0.023733333333333332,0.1484
0.024,0.1484
0.024,0.1488
0.024133333333333333,0.1488
0.024133333333333333,0.1516
0.024533333333333334,0.1516
0.024533333333333334,0.1536
0.0248,0.1536
0.0248,0.154
0.02493333333333333,0.154
0.02493333333333333,0.1552
0.025066666666666668,0.1552
0.025066666666666668,0.158
0.0252,0.158
0.0252,0.1588
0.025333333333333333,0.1588
0.025333333333333333,0.1612
0.025466666666666665,0.1612
0.025466666666666665,0.1636
0.0256,0.1636
0.0256,0.164
0.026133333333333335,0.164
0.026133333333333335,0.1644
0.0264,0.1644
0.0264,0.1652
0.02666666666666667,0.1652
0.02666666666666667,0.1664
0.0268,0.1664
0.0268,0.1712
0.027066666666666666,0.1712
0.027066666666666666,0.1724
0.0272,0.1724
0.0272,0.1728
0.027333333333333334,0.1728
0.027333333333333334,0.1732
0.027466666666666667,0.1732
0.027466666666666667,0.1752
0.0276,0.1752
0.0276,0.1756
0.027733333333333332,0.1756
0.027733333333333332,0.1768
0.028,0.1768
0.028,0.1788
0.028133333333333333,0.1788
0.028133333333333333,0.1796
0.029066666666666668,0.1796
0.029066666666666668,0.1808
0.0292,0.1808
0.0292,0.1828
0.029333333333333333,0.1828
0.029333333333333333,0.184
0.0296,0.184
0.0296,0.1844
0.03,0.1844
0.03,0.1852
0.0304,0.1852
0.0304,0.1864
0.030666666666666665,0.1864
0.030666666666666665,0.1888
0.030933333333333334,0.1888
0.030933333333333334,0.1892
0.0312,0.1892
0.0312,0.1908
0.0316,0.1908
0.0316,0.1912
0.031733333333333336,0.1912
0.031733333333333336,0.1916
0.032,0.1916
0.032,0.1924
0.0324,0.1924
0.0324,0.1928
0.0328,0.1928
0.0328,0.1936
0.03306666666666667,0.1936
